date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-03 | 1.23
2011-01-03 | 1.23456789012345678901234567890
2011-01-09 | 1
2012-01-11 | 1
2008-01-01 | 1
2020-01-01 | 1
2020-01-11 | 2
2012-02-29 | 1
2013-02-29 | 1

2011-00-03 | 3
2011-02-00 | 3
2012-01-11 | -1
2001-42-42 | 3
2001-11-31 | 3
2012-01-11 | 2147483648
2011-01-03 | 1.23456789012345678901234567890.
2012-01-11 | 
2012-01-11
2012-01-11 | a
2012-01-11 | 2.3.1
2023-01-01 | 1
a000-01-01 | 1
200a-01-01 | 1
2011-0a-01 | 1
2011-01-0a | 1
0000-01-01 | 1
